Lat,Lng,Altitude(f,Accuracy,Date2
34.172199999999997,-118.606499999999997,"882","10",2019-09-05 13:19:41-07:00
34.172069999999998,-118.606800000000007,"879","10",2019-09-05 13:23:10-07:00
34.172069999999998,-118.606800000000007,"879","10",2019-09-05 13:23:28-07:00
34.171929999999996,-118.614500000000007,"852","10",2019-09-05 13:42:20-07:00
34.169199999999996,-118.614599999999996,"869","10",2019-09-05 13:43:36-07:00
34.168120000000002,-118.607600000000005,"888","10",2019-09-05 13:44:54-07:00
34.168279999999996,-118.607299999999995,"905","10",2019-09-05 13:47:11-07:00
34.168440000000004,-118.604799999999997,"892","10",2019-09-05 13:48:29-07:00
34.167729999999999,-118.600800000000007,"898","10",2019-09-05 13:49:50-07:00
34.166440000000001,-118.599599999999995,"947","10",2019-09-05 13:51:08-07:00
34.185670000000002,-118.594399999999993,"852","65",2019-09-05 14:52:56-07:00
34.185980000000001,-118.594399999999993,"813","10",2019-09-05 14:55:06-07:00
34.186370000000004,-118.593999999999994,"803","10",2019-09-05 14:57:21-07:00
34.182949999999998,-118.593199999999996,"820","10",2019-09-05 14:58:44-07:00
34.182980000000001,-118.597399999999993,"820","10",2019-09-05 15:00:32-07:00
34.188279999999999,-118.597499999999997,"787","10",2019-09-05 15:03:06-07:00
34.187280000000001,-118.604399999999998,"813","10",2019-09-05 15:04:56-07:00
34.186390000000003,-118.606899999999996,"820","10",2019-09-05 15:06:16-07:00
34.184989999999999,-118.606700000000004,"813","50",2019-09-05 15:08:37-07:00
34.185759999999995,-118.606099999999998,"816","65",2019-09-05 15:10:24-07:00
34.185749999999999,-118.606200000000001,"820","65",2019-09-05 15:11:03-07:00
34.185730000000000,-118.606200000000001,"813","50",2019-09-05 15:12:07-07:00
34.188359999999996,-118.598600000000005,"810","100",2019-09-05 17:57:51-07:00
34.179929999999999,-118.597600000000000,"820","10",2019-09-05 17:59:17-07:00
34.172890000000002,-118.597499999999997,"859","10",2019-09-05 18:00:36-07:00
34.166080000000001,-118.597800000000007,"905","10",2019-09-05 18:01:56-07:00
34.166029999999999,-118.598799999999997,"967","10",2019-09-05 18:03:12-07:00
34.166620000000002,-118.599000000000004,"974","10",2019-09-06 08:44:03-07:00
34.165939999999999,-118.597300000000004,"918","10",2019-09-06 08:45:38-07:00
34.158130000000000,-118.596500000000006,"954","10",2019-09-06 08:46:56-07:00
34.156940000000006,-118.604299999999995,"980","10",2019-09-06 08:48:14-07:00
34.158190000000005,-118.609099999999998,"957","10",2019-09-06 08:49:34-07:00
34.162959999999998,-118.608699999999999,"934","10",2019-09-06 08:50:53-07:00
34.166530000000002,-118.612399999999994,"915","10",2019-09-06 08:52:14-07:00
34.168509999999998,-118.614800000000002,"885","10",2019-09-06 08:54:22-07:00
34.168720000000000,-118.614300000000000,"885","10",2019-09-06 08:57:40-07:00
34.168479999999995,-118.605999999999995,"905","10",2019-09-06 08:59:30-07:00
34.168799999999997,-118.603700000000003,"888","10",2019-09-06 09:00:51-07:00
34.168840000000003,-118.602599999999995,"898","10",2019-09-06 09:02:11-07:00
34.168640000000003,-118.602300000000000,"902","10",2019-09-06 09:04:12-07:00
34.168520000000001,-118.602400000000003,"892","10",2019-09-06 09:05:32-07:00
34.168620000000004,-118.602099999999993,"888","10",2019-09-06 09:07:26-07:00
34.168430000000001,-118.602400000000003,"892","10",2019-09-06 09:08:57-07:00
34.168610000000001,-118.602199999999996,"888","10",2019-09-06 09:10:52-07:00
34.159230000000001,-118.596400000000003,"820","65",2019-09-08 09:33:38-07:00
34.156909999999996,-118.604299999999995,"961","10",2019-09-08 09:34:56-07:00
34.157150000000001,-118.605500000000006,"941","10",2019-09-08 09:36:44-07:00
34.157330000000002,-118.605400000000003,"938","10",2019-09-08 09:52:37-07:00
34.157570000000000,-118.605500000000006,"938","10",2019-09-08 09:54:07-07:00
34.162579999999998,-118.605900000000005,"921","10",2019-09-08 09:55:25-07:00
34.168459999999996,-118.604900000000001,"885","10",2019-09-08 09:56:45-07:00
34.166530000000002,-118.599599999999995,"938","10",2019-09-08 09:58:07-07:00
34.166150000000002,-118.597999999999999,"931","10",2019-09-08 10:23:08-07:00
34.165630000000000,-118.595699999999994,"905","10",2019-09-08 10:24:32-07:00
34.168630000000000,-118.597300000000004,"898","30",2019-09-08 10:26:15-07:00
34.176729999999999,-118.597600000000000,"856","50",2019-09-08 10:27:33-07:00
34.182740000000003,-118.597300000000004,"826","30",2019-09-08 10:28:51-07:00
34.185569999999998,-118.592799999999997,"813","10",2019-09-08 10:30:10-07:00
34.186300000000003,-118.594499999999996,"800","10",2019-09-08 10:31:33-07:00
34.185600000000001,-118.594300000000004,"810","65",2019-09-08 10:33:45-07:00
34.185759999999995,-118.594499999999996,"813","10",2019-09-08 10:35:55-07:00
34.186290000000000,-118.594499999999996,"810","10",2019-09-08 10:37:56-07:00
34.183650000000000,-118.592799999999997,"800","10",2019-09-08 10:39:14-07:00
34.182829999999996,-118.597600000000000,"810","10",2019-09-08 10:40:56-07:00
34.174599999999998,-118.597600000000000,"898","10",2019-09-08 10:42:14-07:00
34.167830000000002,-118.597499999999997,"888","10",2019-09-08 10:44:18-07:00
34.166959999999996,-118.599400000000003,"947","10",2019-09-08 10:45:40-07:00
34.166020000000003,-118.597600000000000,"921","10",2019-09-08 11:33:28-07:00
34.167499999999997,-118.595799999999997,"902","10",2019-09-08 11:34:46-07:00
34.166319999999999,-118.587800000000001,"921","10",2019-09-08 11:36:06-07:00
34.169660000000000,-118.574299999999994,"905","10",2019-09-08 11:37:24-07:00
34.170929999999998,-118.570999999999998,"839","10",2019-09-08 11:38:45-07:00
34.176409999999997,-118.570999999999998,"813","10",2019-09-08 11:40:03-07:00
34.188040000000001,-118.570899999999995,"777","10",2019-09-08 11:41:21-07:00
34.196950000000001,-118.570999999999998,"764","10",2019-09-08 11:42:40-07:00
34.203409999999998,-118.570899999999995,"770","10",2019-09-08 11:43:59-07:00
34.208770000000001,-118.570999999999998,"774","5",2019-09-08 11:45:17-07:00
34.217420000000004,-118.570999999999998,"790","5",2019-09-08 11:46:36-07:00
